Country,Year,Female_Enrollment,Female_Graduation_Rate,ECS_Fields
Australia,2000,25.3,41.7,Computer Science
Australia,2000,30.4,32.9,Computer Science
Australia,2000,47.5,11,Computer Science
Australia,2000,68,31.3,Engineering
Australia,2001,40,11.6,Engineering
Australia,2001,51.1,50.7,Computer Science
Australia,2003,24.2,54,Computer Science
Australia,2003,25.7,36.9,Computer Science
Australia,2003,52,26.9,Computer Science
Australia,2003,66.9,33.7,Engineering
Australia,2006,64.6,59.7,Engineering
Australia,2007,33.5,24.5,Computer Science
Australia,2007,52,33.1,Computer Science
Australia,2010,25.5,39.3,Engineering
Australia,2010,60.8,11.4,Engineering
Australia,2010,60.9,53.2,Engineering
Australia,2011,48.1,50,Engineering
Australia,2011,57.2,16.1,Computer Science
Australia,2012,50.3,16.6,Computer Science
Australia,2015,51.5,16.4,Engineering
Australia,2015,66.9,54.8,Computer Science
Australia,2016,36.2,13.4,Engineering
Australia,2017,29.2,54.2,Computer Science
Australia,2018,62.3,51.5,Computer Science
Australia,2019,52.2,57.8,Engineering
Australia,2019,55.4,61.9,Engineering
Australia,2019,64,20.7,Computer Science
Australia,2020,36.2,38.9,Engineering
Australia,2020,44.8,40.8,Computer Science
Australia,2021,29,54.3,Computer Science
Australia,2022,23.4,37.8,Computer Science
Australia,2022,33.8,59.3,Engineering
Australia,2022,46.7,35.9,Computer Science
Australia,2022,57.9,50.2,Engineering
Australia,2023,23.3,56.5,Computer Science
Canada,2000,21,21.3,Computer Science
Canada,2001,34.4,11.4,Engineering
Canada,2001,60.7,37.7,Engineering
Canada,2002,48.4,18.2,Engineering
Canada,2002,58.2,28.9,Engineering
Canada,2002,69,23.2,Engineering
Canada,2003,61.3,56.8,Engineering
Canada,2004,65.5,23.2,Computer Science
Canada,2004,68.6,47.1,Computer Science
Canada,2005,44.5,56.9,Engineering
Canada,2006,27.7,59,Engineering
Canada,2006,28,13.8,Engineering
Canada,2006,32.3,12.6,Engineering
Canada,2006,35.7,35.9,Computer Science
Canada,2006,36.7,25.9,Engineering
Canada,2006,63.1,39.1,Computer Science
Canada,2007,46.1,40.2,Computer Science
Canada,2007,59.1,59.8,Engineering
Canada,2008,34.6,41.1,Computer Science
Canada,2008,35.1,56.5,Computer Science
Canada,2008,47.9,43.6,Computer Science
Canada,2009,23.7,41.5,Computer Science
Canada,2009,37.9,51.9,Engineering
Canada,2010,43.3,29,Computer Science
Canada,2010,54.4,28.8,Engineering
Canada,2012,20.1,27.2,Computer Science
Canada,2012,22,41.5,Engineering
Canada,2012,23.6,38.7,Engineering
Canada,2012,46,11.1,Engineering
Canada,2012,57,35.1,Engineering
Canada,2013,69.1,32.9,Engineering
Canada,2014,55.2,63.1,Engineering
Canada,2015,57.5,40.8,Engineering
Canada,2015,57.7,44.7,Computer Science
Canada,2016,23.4,21.6,Engineering
Canada,2016,26.1,28.7,Computer Science
Canada,2016,30.4,61.3,Engineering
Canada,2017,41.4,23.3,Engineering
Canada,2018,53.2,48.1,Computer Science
Canada,2019,30.4,54.2,Computer Science
Canada,2019,41.9,18.8,Computer Science
Canada,2019,68.2,48.3,Engineering
Canada,2020,57,45.5,Computer Science
Canada,2021,37.2,52.3,Computer Science
Canada,2021,47.7,50.4,Computer Science
Canada,2021,60.8,28.1,Engineering
Canada,2022,28.3,32.3,Engineering
Canada,2023,33.2,18,Engineering
Canada,2023,64.2,42.5,Computer Science
China,2000,48.1,57.3,Computer Science
China,2001,37.6,29.3,Computer Science
China,2001,48.4,62.9,Computer Science
China,2002,21.8,10.8,Engineering
China,2002,23.7,39.6,Computer Science
China,2002,43.8,29.6,Engineering
China,2003,53.3,39.1,Engineering
China,2004,32.7,32.2,Engineering
China,2005,29.8,56.9,Engineering
China,2005,36.1,38.7,Computer Science
China,2005,45.5,62.8,Engineering
China,2005,46.2,47.9,Computer Science
China,2005,53.1,30.8,Computer Science
China,2005,60.1,54.8,Engineering
China,2005,62.6,46.3,Engineering
China,2006,42.4,10.8,Engineering
China,2006,47.4,52.2,Engineering
China,2007,22.8,58.3,Engineering
China,2007,30.5,63.2,Engineering
China,2007,40.6,46.1,Engineering
China,2008,34.2,20.6,Engineering
China,2009,52.3,51.6,Engineering
China,2010,51,28,Engineering
China,2010,65.6,26.5,Engineering
China,2011,31.3,53.6,Engineering
China,2011,58.5,12.7,Computer Science
China,2013,44.3,56.2,Engineering
China,2013,52,55.9,Computer Science
China,2013,65.8,26.9,Computer Science
China,2014,20.4,27.9,Engineering
China,2014,56,56.2,Engineering
China,2015,20.8,23.9,Engineering
China,2015,54.4,22.2,Engineering
China,2016,68.7,34.7,Computer Science
China,2017,30.7,57.8,Engineering
China,2017,55.3,19.2,Engineering
China,2018,20.4,43.2,Engineering
China,2019,22.8,37.5,Computer Science
China,2020,36.7,64.3,Computer Science
China,2020,63.6,62.4,Engineering
China,2020,68.3,57,Engineering
China,2023,53.7,43.6,Engineering
China,2023,54.9,18.1,Engineering
Germany,2001,26.6,14.1,Engineering
Germany,2002,30.4,32.2,Engineering
Germany,2003,21.1,50,Computer Science
